Date,Order ID,Product Name,Category,Quantity Sold,Unit Price,Total Sales,Customer ID,Sales Channel
1/26/2024,ORD1000,Headphones,Electronics,3,100,300,CUST126,Online
2/1/2024,ORD1001,Desk Chair,Furniture,2,150,300,CUST204,In-Store
1/24/2024,ORD1002,Pen Set,Stationery,5,5,25,CUST372,Online
1/9/2024,ORD1003,Backpack,Accessories,4,50,200,CUST217,In-Store
1/29/2024,ORD1004,Headphones,Electronics,5,100,500,CUST182,Online
2/11/2024,ORD1005,Wrist Watch,Accessories,1,200,200,CUST282,In-Store
1/13/2024,ORD1006,Coffee Maker,Appliances,3,120,360,CUST416,In-Store
1/15/2024,ORD1007,Pen Set,Stationery,1,5,5,CUST326,Online
2/29/2024,ORD1008,Wrist Watch,Accessories,5,200,1000,CUST170,Online
1/30/2024,ORD1009,Backpack,Accessories,3,50,150,CUST315,In-Store
1/15/2024,ORD1010,Headphones,Electronics,4,100,400,CUST318,Online
1/25/2024,ORD1011,Pen Set,Stationery,2,5,10,CUST154,In-Store
1/2/2024,ORD1012,Wrist Watch,Accessories,4,200,800,CUST111,In-Store
1/2/2024,ORD1013,Pen Set,Stationery,1,5,5,CUST134,Online
1/13/2024,ORD1014,Office Desk,Furniture,1,300,300,CUST150,In-Store
2/7/2024,ORD1015,Laptop,Electronics,5,800,4000,CUST316,In-Store
2/12/2024,ORD1016,Office Desk,Furniture,1,300,300,CUST195,Online
1/11/2024,ORD1017,Laptop,Electronics,3,800,2400,CUST127,In-Store
2/27/2024,ORD1018,Coffee Maker,Appliances,2,120,240,CUST264,In-Store
3/1/2024,ORD1019,Smartphone,Electronics,3,600,1800,CUST459,Online
2/22/2024,ORD1020,Wrist Watch,Accessories,3,200,600,CUST106,Online
2/2/2024,ORD1021,Coffee Maker,Appliances,2,120,240,CUST390,In-Store
2/11/2024,ORD1022,Laptop,Electronics,4,800,3200,CUST238,In-Store
1/3/2024,ORD1023,Backpack,Accessories,1,50,50,CUST476,Online
3/1/2024,ORD1024,Laptop,Electronics,4,800,3200,CUST233,In-Store
1/3/2024,ORD1025,Headphones,Electronics,4,100,400,CUST453,In-Store
1/11/2024,ORD1026,Pen Set,Stationery,3,5,15,CUST491,Online
2/5/2024,ORD1027,Office Desk,Furniture,3,300,900,CUST495,In-Store
2/1/2024,ORD1028,Smartphone,Electronics,3,600,1800,CUST487,Online
2/7/2024,ORD1029,Headphones,Electronics,2,100,200,CUST258,Online
1/22/2024,ORD1030,Backpack,Accessories,5,50,250,CUST322,Online
2/20/2024,ORD1031,Desk Chair,Furniture,2,150,300,CUST381,Online
2/2/2024,ORD1032,Desk Chair,Furniture,3,150,450,CUST391,In-Store
1/30/2024,ORD1033,Headphones,Electronics,3,100,300,CUST208,In-Store
2/1/2024,ORD1034,Smartphone,Electronics,2,600,1200,CUST215,In-Store
1/13/2024,ORD1035,Backpack,Accessories,3,50,150,CUST478,In-Store
1/29/2024,ORD1036,Wrist Watch,Accessories,4,200,800,CUST411,In-Store
1/27/2024,ORD1037,Wrist Watch,Accessories,4,200,800,CUST112,In-Store
1/17/2024,ORD1038,Wrist Watch,Accessories,3,200,600,CUST108,Online
2/15/2024,ORD1039,Office Desk,Furniture,4,300,1200,CUST192,Online
2/11/2024,ORD1040,Office Desk,Furniture,2,300,600,CUST351,In-Store
2/20/2024,ORD1041,Coffee Maker,Appliances,5,120,600,CUST370,In-Store
2/22/2024,ORD1042,Office Desk,Furniture,2,300,600,CUST470,In-Store
1/11/2024,ORD1043,Smartphone,Electronics,5,600,3000,CUST260,In-Store
1/22/2024,ORD1044,Laptop,Electronics,2,800,1600,CUST438,Online
1/5/2024,ORD1045,Headphones,Electronics,3,100,300,CUST393,Online
1/27/2024,ORD1046,Office Desk,Furniture,3,300,900,CUST186,In-Store
2/3/2024,ORD1047,Smartphone,Electronics,3,600,1800,CUST457,Online
1/17/2024,ORD1048,Backpack,Accessories,1,50,50,CUST321,In-Store
